Hips	Spine	Spine1	Spine2	Spine3	Neck	Head	RightShoulder	RightArm	RightForeArm	RightHand	LeftShoulder	LeftArm	LeftForeArm	LeftHand	RightUpLeg	RightLeg	RightFoot	LeftUpLeg	LeftLeg	LeftFoot	
0.720313 -0.0048756 -0.0339849 0.692798	0.686791 0.00822221 -0.0172981 0.726602	0.667628 0.0123084 -0.0116195 0.744303	0.679768 -0.00167953 0.00870827 0.733373	0.68847 -0.00702625 0.0192174 0.724976	0.74622 -0.0309773 0.016788 0.664766	0.788335 -0.0528051 0.046983 0.611172	0.661488 0.0874578 0.324321 0.670523	0.899173 -0.210893 -0.0457978 0.380677	0.923154 -0.027829 -0.120601 0.363961	0.785003 0.0588421 -0.0184215 0.616415	0.656882 -0.17501 -0.181915 0.710482	0.849371 0.213739 0.0881019 0.474471	0.872776 0.0733324 0.163795 0.453934	0.758482 0.0578211 0.167178 0.627227	0.746414 -0.0094445 0.0601695 0.662689	0.654255 -0.0171612 0.0584385 0.753817	0.728269 0.0373276 -0.0282005 0.683693	0.723178 0.0386465 -0.0219922 0.689229	0.654104 0.0405689 -0.0182038 0.755096	0.699233 0.131296 -0.0702072 0.699218	
0.720655 -0.0015312 -0.0339542 0.69246	0.688479 0.0112498 -0.0178597 0.724949	0.669291 0.0145095 -0.0128161 0.742748	0.681818 -0.000301615 0.00654695 0.731492	0.690558 -0.00555437 0.016936 0.723057	0.747837 -0.0305776 0.0158091 0.662989	0.786024 -0.0533448 0.0480279 0.614015	0.66303 0.0852703 0.32247 0.670174	0.899625 -0.211461 -0.0464805 0.379208	0.92384 -0.023662 -0.122794 0.361775	0.789389 0.0642802 -0.0183932 0.610241	0.660784 -0.171567 -0.182682 0.707501	0.85155 0.215562 0.0854841 0.4702	0.875639 0.0697227 0.163117 0.449209	0.771739 0.0539383 0.161707 0.612667	0.743585 -0.00292241 0.050645 0.666715	0.655366 -0.00916707 0.0498941 0.753606	0.727413 0.0388847 -0.0271483 0.684559	0.721565 0.0401866 -0.0250987 0.690724	0.654053 0.0423507 -0.0212444 0.754963	0.69922 0.131443 -0.0705561 0.699168	
0.721923 0.000581147 -0.0336433 0.691154	0.690969 0.0128745 -0.0185614 0.722531	0.672146 0.0155973 -0.0139556 0.740123	0.683955 0.000809342 0.00454947 0.72951	0.692554 -0.00422197 0.0148086 0.721201	0.748673 -0.0295224 0.0152287 0.662107	0.784009 -0.0535607 0.050272 0.616387	0.664688 0.0843695 0.320971 0.669365	0.899918 -0.211543 -0.0475188 0.378338	0.924233 -0.019911 -0.125104 0.360203	0.790642 0.069934 -0.0171269 0.60803	0.663155 -0.168467 -0.183777 0.705741	0.853486 0.217508 0.0831351 0.466198	0.878325 0.0655325 0.163062 0.444592	0.785507 0.0492106 0.155717 0.596916	0.740492 0.00570092 0.0390355 0.670907	0.656445 0.00107029 0.0394351 0.753341	0.726519 0.0409763 -0.0260202 0.68543	0.719749 0.0402103 -0.0262795 0.692571	0.65386 0.0424313 -0.0225182 0.755089	0.698856 0.131289 -0.0706888 0.699548	
0.723127 0.00254316 -0.0341517 0.689866	0.693559 0.014218 -0.0199643 0.719983	0.675547 0.0168787 -0.0153754 0.736964	0.686085 0.00197234 0.00281122 0.727513	0.694348 -0.00291583 0.0129332 0.719518	0.74908 -0.0280869 0.0147632 0.66172	0.783028 -0.0535474 0.0518584 0.617504	0.667142 0.0847424 0.319648 0.667506	0.900921 -0.211177 -0.0485939 0.376012	0.92518 -0.0171938 -0.126504 0.357412	0.791753 0.0733859 -0.0150899 0.606229	0.664347 -0.165984 -0.185549 0.704744	0.855307 0.219348 0.0811149 0.462339	0.880863 0.0611857 0.163323 0.440072	0.796517 0.0438919 0.151428 0.583699	0.737234 0.0133044 0.0289446 0.674887	0.657318 0.0099914 0.0302485 0.752939	0.726324 0.0421196 -0.0256301 0.685582	0.718101 0.0410058 -0.0283556 0.694151	0.653554 0.043364 -0.0245983 0.755236	0.698497 0.13106 -0.0706148 0.699956	
0.723916 0.00499331 -0.035393 0.688962	0.695797 0.0159255 -0.0221105 0.717721	0.678719 0.0185975 -0.0174981 0.733954	0.688165 0.00345827 0.000825091 0.725546	0.696019 -0.00143271 0.0109208 0.717938	0.749499 -0.026173 0.0139354 0.661341	0.782985 -0.0531276 0.0527913 0.617515	0.670198 0.0857113 0.318391 0.664917	0.902895 -0.210385 -0.0495371 0.37157	0.926949 -0.015734 -0.126596 0.352833	0.79531 0.0741765 -0.0135467 0.601495	0.665338 -0.163732 -0.187505 0.703817	0.85656 0.220397 0.0795708 0.45978	0.882604 0.0572792 0.163677 0.436966	0.804282 0.0390944 0.148887 0.573964	0.733435 0.0195924 0.0209416 0.679155	0.658513 0.0172987 0.0228728 0.752023	0.726852 0.0420764 -0.0261393 0.685006	0.71667 0.0420945 -0.0306875 0.695464	0.653201 0.0446135 -0.0268944 0.755391	0.698279 0.131022 -0.0705172 0.700191	
0.724857 0.00749952 -0.0372494 0.687851	0.697801 0.0179019 -0.0244584 0.71565	0.68112 0.0205217 -0.0198646 0.731614	0.690164 0.00509828 -0.00138753 0.723633	0.697772 0.000173705 0.00880792 0.716265	0.750424 -0.0240874 0.0127611 0.660394	0.783705 -0.05237 0.0529564 0.616651	0.672927 0.0863587 0.31732 0.662586	0.905 -0.209256 -0.0502335 0.366964	0.928757 -0.0149524 -0.126021 0.348288	0.798976 0.0733451 -0.0119853 0.596754	0.666515 -0.161111 -0.190032 0.702629	0.857865 0.220708 0.0782208 0.457424	0.884149 0.054092 0.163511 0.434303	0.808527 0.035077 0.148072 0.568443	0.729382 0.0217433 0.0182154 0.683519	0.659829 0.0198789 0.0202337 0.750881	0.727544 0.0407096 -0.0271589 0.684313	0.714646 0.0432156 -0.0328485 0.697377	0.653268 0.0458327 -0.0290857 0.755179	0.698278 0.131318 -0.070187 0.70017	
0.725731 0.00978512 -0.0388905 0.686809	0.699473 0.0199483 -0.0263323 0.713895	0.682811 0.0224322 -0.0218497 0.729924	0.692051 0.00675185 -0.00354814 0.721809	0.699562 0.00170894 0.00665714 0.714539	0.751839 -0.0219799 0.0111865 0.658886	0.784741 -0.0511226 0.0522275 0.6155	0.674878 0.086725 0.316428 0.660977	0.906843 -0.207715 -0.0510808 0.363154	0.93021 -0.0148436 -0.12539 0.344626	0.802204 0.0724041 -0.0112842 0.592536	0.667763 -0.15826 -0.192691 0.701368	0.859257 0.220452 0.0770134 0.455134	0.88558 0.051666 0.162823 0.431933	0.809989 0.032338 0.147452 0.566683	0.725572 0.0209917 0.0190103 0.687564	0.661186 0.0192078 0.0208112 0.749687	0.727876 0.0388722 -0.0284051 0.684016	0.712148 0.0449459 -0.0355822 0.699685	0.653763 0.0476538 -0.0318644 0.754525	0.698655 0.131946 -0.069678 0.699726	
0.726249 0.0111576 -0.0401188 0.686169	0.701098 0.0214005 -0.0275447 0.712211	0.684505 0.0237162 -0.0232097 0.728252	0.693829 0.00797993 -0.00517952 0.720077	0.701215 0.00289276 0.00498503 0.712927	0.753389 -0.0204084 0.0096305 0.657188	0.786048 -0.0497703 0.0506912 0.61407	0.676111 0.087415 0.315641 0.660003	0.908037 -0.205807 -0.0524684 0.361053	0.930944 -0.0152177 -0.125396 0.34262	0.804146 0.0724372 -0.010065 0.589916	0.669067 -0.155976 -0.194936 0.700015	0.860285 0.219632 0.0760116 0.453756	0.886457 0.0502219 0.161791 0.430692	0.809589 0.0311075 0.145603 0.567801	0.722368 0.0193131 0.0208577 0.690924	0.662394 0.0175112 0.0223919 0.748616	0.728175 0.0370655 -0.0299627 0.683732	0.70958 0.0469283 -0.038384 0.702012	0.654315 0.0497033 -0.0347156 0.753788	0.698849 0.132255 -0.0695673 0.699485	
0.726402 0.0117557 -0.0403817 0.685982	0.702736 0.0217722 -0.0281847 0.710559	0.686803 0.0239762 -0.0240184 0.726051	0.695407 0.0090025 -0.00638522 0.718532	0.702449 0.00405035 0.00363258 0.711713	0.754833 -0.0190455 0.00796377 0.655592	0.787463 -0.0483867 0.0484661 0.612545	0.676529 0.0883333 0.314835 0.659837	0.908751 -0.204263 -0.0541045 0.359891	0.931302 -0.0151086 -0.126192 0.341357	0.804503 0.0730978 -0.0100669 0.589348	0.669682 -0.154343 -0.196571 0.699331	0.861649 0.218854 0.0748724 0.451729	0.88761 0.0498303 0.159977 0.429036	0.808411 0.030783 0.14393 0.569919	0.720055 0.0173991 0.0224218 0.693337	0.662986 0.015572 0.0237272 0.748094	0.728035 0.0354468 -0.0308596 0.683927	0.707377 0.0486393 -0.0409851 0.703969	0.654801 0.0514667 -0.0373729 0.753121	0.698824 0.132073 -0.0695785 0.699544	
0.726706 0.0115064 -0.0400705 0.685683	0.704534 0.0211295 -0.0284041 0.708786	0.689526 0.023344 -0.0243327 0.723476	0.696834 0.00965568 -0.00714882 0.717132	0.703414 0.00497874 0.00260333 0.710758	0.755977 -0.0179378 0.00627837 0.654322	0.789106 -0.0466972 0.0457051 0.610771	0.677591 0.0894714 0.313908 0.659035	0.90933 -0.202911 -0.0560109 0.358898	0.931585 -0.0143038 -0.127624 0.340084	0.8048 0.0740774 -0.0112791 0.588797	0.670534 -0.15356 -0.197621 0.698391	0.863102 0.218296 0.0736637 0.449417	0.888867 0.0501304 0.157807 0.427199	0.808548 0.0321687 0.141945 0.570147	0.718101 0.0151538 0.0241179 0.695356	0.663444 0.013286 0.0251951 0.747684	0.728085 0.0348438 -0.0309064 0.683903	0.705493 0.0493835 -0.042428 0.70572	0.654927 0.0522031 -0.0389063 0.752882	0.698686 0.131713 -0.0698309 0.699724	
0.727393 0.0108721 -0.0396211 0.68499	0.706205 0.0200661 -0.0283688 0.707154	0.691831 0.022328 -0.0243312 0.721304	0.698113 0.00996031 -0.00775172 0.715877	0.70437 0.00552993 0.00172577 0.70981	0.757028 -0.017014 0.00466553 0.653144	0.791143 -0.0451443 0.0432724 0.608426	0.67941 0.0907449 0.312982 0.657427	0.90989 -0.201741 -0.0579994 0.357822	0.931897 -0.0129494 -0.129387 0.338614	0.805274 0.0753044 -0.0133951 0.587948	0.67154 -0.153275 -0.198534 0.697227	0.864553 0.218185 0.0724061 0.446878	0.8902 0.0510058 0.155488 0.425166	0.810172 0.033832 0.139408 0.568367	0.716276 0.0122884 0.0265172 0.697205	0.663938 0.010337 0.0273371 0.747216	0.728522 0.0346342 -0.0307225 0.683456	0.703868 0.0492803 -0.0427948 0.707326	0.654829 0.0520403 -0.0393922 0.752954	0.698679 0.132009 -0.0699977 0.699658	
0.728421 0.0103201 -0.0389641 0.683944	0.707589 0.0191508 -0.0280438 0.705808	0.693253 0.0213878 -0.0240494 0.719975	0.699126 0.00977627 -0.00828332 0.714883	0.705283 0.00548799 0.000939825 0.708904	0.758241 -0.0162478 0.00329897 0.651764	0.793472 -0.0438797 0.0411149 0.605629	0.681331 0.0918543 0.312144 0.655681	0.910029 -0.200827 -0.0600017 0.357652	0.93186 -0.0110533 -0.131666 0.337904	0.806576 0.0768421 -0.0152707 0.585915	0.672442 -0.152779 -0.199434 0.696209	0.865856 0.218405 0.071093 0.444452	0.89145 0.0522045 0.153157 0.423244	0.812134 0.0356177 0.137076 0.566021	0.714831 0.00920307 0.0293539 0.69862	0.66412 0.00712355 0.0299266 0.746993	0.728855 0.0343322 -0.0303513 0.683133	0.702513 0.0486852 -0.0425518 0.708727	0.654614 0.0513661 -0.0392737 0.753193	0.698727 0.132504 -0.0694877 0.699567	
0.729453 0.00962451 -0.0382014 0.682895	0.708525 0.018227 -0.0275854 0.704911	0.693978 0.0202666 -0.0237777 0.719318	0.699956 0.00920008 -0.00886372 0.714071	0.706151 0.00497064 0.000266459 0.708043	0.759609 -0.0155258 0.00192829 0.650192	0.79598 -0.0428264 0.0390534 0.602542	0.682473 0.0925663 0.311405 0.654743	0.909834 -0.200111 -0.0618976 0.358227	0.931538 -0.00884211 -0.134202 0.337858	0.807288 0.0790377 -0.0177593 0.584571	0.672913 -0.151915 -0.200473 0.695644	0.866809 0.218904 0.0697701 0.442556	0.892421 0.0534808 0.151046 0.421792	0.813441 0.0373743 0.135042 0.564518	0.71414 0.00739921 0.0312529 0.699266	0.663681 0.00520361 0.0316925 0.747326	0.728804 0.0340438 -0.0303048 0.683204	0.701484 0.0479936 -0.0420339 0.709824	0.654159 0.050609 -0.0388453 0.753661	0.698699 0.132587 -0.0692552 0.699603	
0.730103 0.00874349 -0.0372949 0.682262	0.709107 0.0171229 -0.0269828 0.704376	0.694434 0.0189635 -0.023378 0.718926	0.700556 0.0084049 -0.00934602 0.713487	0.706793 0.00427016 -0.000344825 0.707408	0.761045 -0.0150119 0.000850329 0.648524	0.798446 -0.0421813 0.0372587 0.59943	0.682599 0.0930274 0.310601 0.654928	0.909358 -0.199544 -0.0637324 0.359429	0.93097 -0.00657295 -0.136904 0.338391	0.807343 0.0818986 -0.0202378 0.584021	0.672906 -0.150975 -0.201452 0.695572	0.86722 0.219447 0.0685679 0.441668	0.892878 0.0547505 0.149316 0.42128	0.813231 0.0388911 0.133747 0.565026	0.714295 0.00662216 0.0321712 0.699074	0.662725 0.00431551 0.032561 0.748142	0.728292 0.0331625 -0.0307635 0.683772	0.701014 0.0471532 -0.0413285 0.710386	0.653426 0.0497363 -0.0381807 0.754389	0.698381 0.131675 -0.0695852 0.70006	
0.730593 0.00785838 -0.0361581 0.68181	0.709732 0.0159505 -0.0262179 0.703803	0.695174 0.0176677 -0.0227519 0.718264	0.70109 0.00766898 -0.00963991 0.712966	0.707273 0.00367301 -0.000845565 0.706931	0.762466 -0.0147716 -9.55448e-05 0.64686	0.800558 -0.0417346 0.0358991 0.596722	0.68247 0.0934287 0.309587 0.655485	0.908812 -0.199264 -0.0654418 0.360654	0.930392 -0.00420733 -0.139633 0.338905	0.807015 0.0845769 -0.0224393 0.584012	0.672566 -0.150028 -0.201901 0.695976	0.867027 0.219938 0.0675864 0.441954	0.892725 0.0561311 0.147997 0.421887	0.812518 0.0402761 0.132635 0.566216	0.714738 0.00720081 0.0314431 0.698648	0.66148 0.0048714 0.0318871 0.749269	0.727544 0.0322643 -0.0314253 0.684581	0.700617 0.0464318 -0.0409781 0.710845	0.652743 0.0490066 -0.0378612 0.755044	0.698351 0.131516 -0.069416 0.700136	
0.731232 0.00700751 -0.0354021 0.681174	0.710473 0.0149637 -0.0258426 0.703091	0.6961 0.0165342 -0.0225632 0.7174	0.70161 0.00718132 -0.0100745 0.712453	0.707745 0.00331585 -0.00142739 0.706459	0.763912 -0.0147204 -0.000999272 0.645152	0.80254 -0.0414817 0.034898 0.59413	0.68281 0.0938734 0.308658 0.655507	0.908346 -0.1992 -0.0670241 0.361573	0.92993 -0.0018566 -0.142244 0.339107	0.806773 0.0875696 -0.024126 0.583838	0.672355 -0.149201 -0.202387 0.696217	0.866824 0.220637 0.06663 0.442148	0.892609 0.0575797 0.146751 0.422373	0.811724 0.0420714 0.132343 0.567291	0.714881 0.00743878 0.0311031 0.698514	0.660452 0.00508396 0.0315736 0.750187	0.727144 0.031971 -0.0316779 0.685008	0.699896 0.0459046 -0.0406415 0.711609	0.65222 0.0484463 -0.0375756 0.755546	0.698315 0.13183 -0.0692525 0.70013	
0.731981 0.00641399 -0.0353304 0.680378	0.711151 0.0143745 -0.0259196 0.702415	0.696687 0.0158508 -0.0227811 0.716838	0.702154 0.00709604 -0.0107232 0.711909	0.708341 0.0033521 -0.00216719 0.705859	0.765394 -0.0149046 -0.00202328 0.643386	0.804343 -0.0414813 0.0342805 0.591723	0.683825 0.0942896 0.307872 0.654758	0.908047 -0.199314 -0.0684592 0.361992	0.929664 0.000364202 -0.144609 0.338841	0.807415 0.0901772 -0.0262073 0.582463	0.672701 -0.148354 -0.203003 0.695884	0.866758 0.221577 0.0659236 0.441914	0.892668 0.0592534 0.145664 0.422393	0.812672 0.0443909 0.131591 0.565931	0.714397 0.00787167 0.0306262 0.699025	0.660027 0.0055554 0.0311298 0.750576	0.727369 0.0321282 -0.0318942 0.684751	0.699187 0.0460888 -0.0410364 0.712271	0.651668 0.0486458 -0.0379704 0.75599	0.698243 0.132368 -0.0689463 0.70013	
0.732704 0.00679997 -0.0356565 0.679579	0.711671 0.0146545 -0.0264508 0.701862	0.696884 0.0160311 -0.023419 0.716622	0.70263 0.00751499 -0.0115405 0.711422	0.708985 0.00376749 -0.0029358 0.705207	0.76694 -0.0150325 -0.00316763 0.641534	0.805994 -0.0417027 0.0335916 0.589497	0.685209 0.0945745 0.307167 0.6536	0.907875 -0.199529 -0.0697361 0.36206	0.92954 0.00218923 -0.146625 0.338307	0.80802 0.0922866 -0.0283154 0.581192	0.673276 -0.147358 -0.203734 0.695326	0.866835 0.222709 0.0653924 0.441272	0.892894 0.0611863 0.14463 0.421995	0.813352 0.0463952 0.131079 0.564911	0.713554 0.00813994 0.0301761 0.699902	0.659822 0.00588529 0.0306956 0.750771	0.727433 0.0326165 -0.0318419 0.684663	0.698884 0.0479783 -0.0435732 0.712293	0.650661 0.0507329 -0.0403326 0.756598	0.698162 0.133198 -0.0685991 0.700088	
0.732923 0.00742543 -0.0363797 0.679297	0.711926 0.0151563 -0.0272864 0.70156	0.697045 0.016477 -0.0243158 0.716426	0.703027 0.00810861 -0.0123514 0.71101	0.709489 0.00435606 -0.00364417 0.704694	0.768427 -0.0151789 -0.00413674 0.639744	0.807469 -0.0422139 0.0329282 0.587476	0.686412 0.0947563 0.306253 0.65274	0.907629 -0.199643 -0.0708004 0.362407	0.92932 0.00355411 -0.148296 0.338171	0.808454 0.0936611 -0.0303185 0.580268	0.673476 -0.146244 -0.204611 0.695109	0.866903 0.223853 0.0648194 0.440645	0.893111 0.0631062 0.143572 0.421613	0.813034 0.0488581 0.13171 0.565014	0.712844 0.00848763 0.0297232 0.700641	0.659587 0.00628677 0.0302652 0.750993	0.72736 0.0326063 -0.0319143 0.684737	0.698945 0.0495039 -0.045595 0.712002	0.649623 0.0524501 -0.0421725 0.757272	0.697733 0.132957 -0.0687323 0.700548	
