Hips,Spine,Spine1,Spine2,Spine3,Neck,Head,RightShoulder,RightArm,RightForeArm,RightHand,LeftShoulder,LeftArm,LeftForeArm,LeftHand,RightUpLeg,RightLeg,RightFoot,LeftUpLeg,LeftLeg,LeftFoot
0.649192 0.065481 0.076974 0.753882,NaN NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN NaN,-0.462467 -0.425355 -0.596555 0.499319,NaN NaN NaN NaN,-0.086732 0.097612 0.653204 0.745838,NaN NaN NaN NaN,-0.199966 0.690666 -0.682025 -0.133551,0.19581 0.121701 0.104418 0.967442,NaN NaN NaN NaN,NaN NaN NaN NaN,0.207614 0.085787 -0.966105 0.127196,0.183174 0.069067 -0.980643 0.004041,NaN NaN NaN NaN,-0.124791 0.697862 0.185847 0.680351,0.670635 -0.409224 -0.544476 -0.293819,0.030251 0.517886 0.554639 0.65058,6.3e-05 -0.719435 -0.088782 0.688862,-0.533303 -0.551929 -0.445457 0.461011,0.435495 0.299644 -0.847049 -0.055361
0.653489 0.063053 0.076473 0.750419,NaN NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN NaN,-0.462019 -0.418039 -0.60152 0.499956,NaN NaN NaN NaN,-0.089155 0.099652 0.651837 0.746478,NaN NaN NaN NaN,-0.203739 0.696274 -0.675685 -0.130928,0.198188 0.119753 0.108123 0.966794,NaN NaN NaN NaN,NaN NaN NaN NaN,0.206246 0.093373 -0.965398 0.129421,0.181487 0.083625 -0.979822 0.004151,NaN NaN NaN NaN,-0.139168 0.697954 0.19467 0.674979,0.683206 -0.389655 -0.555224 -0.270417,0.029011 0.51667 0.554905 0.651377,-0.004935 -0.719045 -0.090131 0.689077,-0.534015 -0.551923 -0.444708 0.460916,0.435491 0.299185 -0.847223 -0.055214
0.657569 0.065446 0.07818 0.746464,NaN NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN NaN,-0.457384 -0.420966 -0.599182 0.504548,NaN NaN NaN NaN,-0.090845 0.100622 0.650658 0.747172,NaN NaN NaN NaN,-0.205339 0.705571 -0.665491 -0.130871,0.200386 0.118046 0.111402 0.966178,NaN NaN NaN NaN,NaN NaN NaN NaN,0.197014 0.097717 -0.966674 0.131069,0.179514 0.098342 -0.978822 0.003471,NaN NaN NaN NaN,-0.152009 0.697779 0.201172 0.670469,0.692222 -0.370182 -0.566723 -0.250235,0.027674 0.514997 0.555411 0.652327,-0.009508 -0.717952 -0.093533 0.689715,-0.533284 -0.553185 -0.442859 0.462028,0.435788 0.299171 -0.847092 -0.054963
0.654772 0.067353 0.080505 0.748502,NaN NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN NaN,-0.453837 -0.420002 -0.599427 0.508249,NaN NaN NaN NaN,-0.091571 0.100572 0.649868 0.747777,NaN NaN NaN NaN,-0.202217 0.709279 -0.662131 -0.132714,0.204682 0.116835 0.113346 0.965198,NaN NaN NaN NaN,NaN NaN NaN NaN,0.190215 0.107494 -0.966534 0.134446,0.17709 0.108724 -0.978169 0.001714,NaN NaN NaN NaN,-0.161969 0.698276 0.202811 0.667116,0.69428 -0.362886 -0.571123 -0.245167,0.02707 0.513983 0.556133 0.652537,-0.011783 -0.716764 -0.095707 0.690616,-0.530155 -0.557094 -0.437848 0.465694,0.436428 0.299578 -0.846633 -0.054736
0.653639 0.069858 0.083109 0.748978,NaN NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN NaN,-0.454353 -0.416443 -0.60096 0.508907,NaN NaN NaN NaN,-0.091728 0.100223 0.649582 0.748054,NaN NaN NaN NaN,-0.20291 0.708997 -0.662789 -0.129852,0.210785 0.116203 0.113732 0.963915,NaN NaN NaN NaN,NaN NaN NaN NaN,0.196504 0.113476 -0.964429 0.135596,0.174538 0.115682 -0.977831 -0.000349,NaN NaN NaN NaN,-0.171182 0.697823 0.204305 0.66483,0.695261 -0.358094 -0.574265 -0.242077,0.027536 0.514404 0.556359 0.651994,-0.01453 -0.716279 -0.097521 0.690813,-0.527409 -0.560072 -0.433887 0.468937,0.437129 0.300264 -0.846028 -0.054739
0.656582 0.071424 0.084473 0.746099,NaN NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN NaN,-0.452533 -0.417148 -0.599314 0.511884,NaN NaN NaN NaN,-0.091519 0.099623 0.64999 0.747805,NaN NaN NaN NaN,-0.205906 0.708895 -0.662829 -0.12541,0.216383 0.116032 0.113289 0.962746,NaN NaN NaN NaN,NaN NaN NaN NaN,0.199019 0.115623 -0.963565 0.136253,0.172001 0.119499 -0.97782 -0.002043,NaN NaN NaN NaN,-0.179145 0.695608 0.206694 0.664315,0.694601 -0.354032 -0.57832 -0.240286,0.028632 0.516228 0.555837 0.650949,-0.012714 -0.716693 -0.092629 0.691093,-0.526726 -0.560502 -0.433032 0.469978,0.437803 0.30101 -0.845416 -0.05471
0.659204 0.071294 0.084402 0.743804,NaN NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN NaN,-0.448536 -0.41922 -0.596892 0.516517,NaN NaN NaN NaN,-0.091058 0.098532 0.650996 0.747131,NaN NaN NaN NaN,-0.206425 0.709881 -0.661879 -0.123987,0.220232 0.1163 0.112769 0.961902,NaN NaN NaN NaN,NaN NaN NaN NaN,0.194127 0.114989 -0.964647 0.136191,0.169608 0.120941 -0.978059 -0.002726,NaN NaN NaN NaN,-0.187112 0.69342 0.211487 0.662896,0.692196 -0.355169 -0.579225 -0.243346,0.029837 0.518355 0.555265 0.649691,-0.010914 -0.717353 -0.085764 0.691324,-0.526374 -0.560177 -0.433057 0.470737,0.438175 0.301387 -0.845088 -0.054712
0.660101 0.071159 0.083826 0.743086,NaN NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN NaN,-0.448101 -0.418094 -0.597026 0.517651,NaN NaN NaN NaN,-0.090125 0.096931 0.65267 0.745992,NaN NaN NaN NaN,-0.207544 0.711268 -0.660344 -0.122351,0.222197 0.11667 0.112954 0.961383,NaN NaN NaN NaN,NaN NaN NaN NaN,0.190564 0.118565 -0.964829 0.13687,0.167748 0.121266 -0.97834 -0.002415,NaN NaN NaN NaN,-0.189348 0.693998 0.210291 0.662036,0.689471 -0.360959 -0.576026 -0.250065,0.030569 0.519784 0.554844 0.648875,-0.011188 -0.717881 -0.080465 0.69141,-0.525879 -0.560248 -0.432494 0.471723,0.438257 0.301495 -0.845009 -0.054686
0.660503 0.071949 0.083498 0.742689,NaN NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN NaN,-0.447911 -0.41575 -0.598485 0.518019,NaN NaN NaN NaN,-0.08857 0.095073 0.654917 0.744446,NaN NaN NaN NaN,-0.2096 0.711242 -0.660232 -0.119567,0.223338 0.11685 0.114083 0.960964,NaN NaN NaN NaN,NaN NaN NaN NaN,0.1915 0.123469 -0.96389 0.137839,0.166558 0.122591 -0.978381 -0.001019,NaN NaN NaN NaN,-0.187821 0.696563 0.204649 0.661545,0.687481 -0.364562 -0.574209 -0.254456,0.030656 0.519697 0.554959 0.648842,-0.011733 -0.71867 -0.076371 0.691045,-0.525289 -0.560642 -0.431445 0.472871,0.438303 0.301454 -0.845002 -0.054665
0.660218 0.073067 0.083279 0.742858,NaN NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN NaN,-0.446122 -0.416366 -0.598204 0.519391,NaN NaN NaN NaN,-0.08644 0.092968 0.657337 0.742828,NaN NaN NaN NaN,-0.210954 0.711419 -0.660005 -0.117366,0.224421 0.116842 0.116056 0.960476,NaN NaN NaN NaN,NaN NaN NaN NaN,0.193131 0.12389 -0.963442 0.138315,0.165935 0.12511 -0.978168 0.001051,NaN NaN NaN NaN,-0.184646 0.700115 0.197723 0.660795,0.687856 -0.362229 -0.576107 -0.252476,0.030189 0.51892 0.555275 0.649215,-0.012675 -0.719511 -0.074269 0.690382,-0.524909 -0.561196 -0.430258 0.473718,0.438392 0.301365 -0.844989 -0.054644
0.659641 0.072694 0.082429 0.743502,NaN NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN NaN,-0.444608 -0.416064 -0.598405 0.520698,NaN NaN NaN NaN,-0.083917 0.090589 0.659685 0.741328,NaN NaN NaN NaN,-0.212036 0.71318 -0.657972 -0.11614,0.22554 0.116687 0.118713 0.959908,NaN NaN NaN NaN,NaN NaN NaN NaN,0.19218 0.122703 -0.963697 0.138921,0.165602 0.128053 -0.977837 0.003527,NaN NaN NaN NaN,-0.181933 0.702697 0.192139 0.660455,0.687931 -0.359141 -0.579026 -0.249994,0.029782 0.518315 0.555384 0.649624,-0.013647 -0.719854 -0.07367 0.69007,-0.524696 -0.561819 -0.429137 0.474231,0.43856 0.301335 -0.844911 -0.054651
0.662083 0.071543 0.080956 0.741602,NaN NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN NaN,-0.444676 -0.414907 -0.599182 0.520669,NaN NaN NaN NaN,-0.081143 0.088079 0.661913 0.739952,NaN NaN NaN NaN,-0.213301 0.714035 -0.656799 -0.115205,0.22633 0.116444 0.121779 0.959367,NaN NaN NaN NaN,NaN NaN NaN NaN,0.190402 0.126109 -0.963346 0.140744,0.165638 0.130453 -0.977503 0.005862,NaN NaN NaN NaN,-0.180118 0.704046 0.188894 0.660451,0.686307 -0.362017 -0.577929 -0.252833,0.029671 0.518339 0.555183 0.649782,-0.016576 -0.71958 -0.075969 0.690043,-0.524607 -0.562501 -0.428035 0.474518,0.438756 0.301408 -0.844785 -0.054635
0.665827 0.070209 0.079333 0.738547,NaN NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN NaN,-0.44325 -0.415075 -0.59914 0.521798,NaN NaN NaN NaN,-0.078344 0.085427 0.663808 0.738866,NaN NaN NaN NaN,-0.214841 0.71312 -0.657487 -0.114077,0.226365 0.116046 0.125248 0.95896,NaN NaN NaN NaN,NaN NaN NaN NaN,0.189922 0.130798 -0.962502 0.14287,0.165739 0.131518 -0.977327 0.008046,NaN NaN NaN NaN,-0.180181 0.703595 0.189228 0.660819,0.684948 -0.367286 -0.574561 -0.256569,0.029627 0.518871 0.554727 0.649748,-0.020532 -0.719301 -0.079888 0.689784,-0.525161 -0.562699 -0.427614 0.474049,0.438983 0.301519 -0.844624 -0.054678
0.667638 0.069148 0.077886 0.737165,NaN NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN NaN,-0.442209 -0.415554 -0.598833 0.522652,NaN NaN NaN NaN,-0.075558 0.08282 0.665415 0.738007,NaN NaN NaN NaN,-0.21634 0.712314 -0.65803 -0.113143,0.22589 0.115428 0.128899 0.958663,NaN NaN NaN NaN,NaN NaN NaN NaN,0.190229 0.130666 -0.962282 0.144056,0.165902 0.131545 -0.977278 0.010045,NaN NaN NaN NaN,-0.18182 0.702143 0.191949 0.66113,0.684459 -0.371194 -0.571755 -0.258511,0.029525 0.519511 0.554197 0.649693,-0.023403 -0.71912 -0.082636 0.689557,-0.526059 -0.562565 -0.427705 0.473128,0.439297 0.301737 -0.844382 -0.054695
0.668365 0.06879 0.076619 0.736672,NaN NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN NaN,-0.442353 -0.414665 -0.599498 0.522474,NaN NaN NaN NaN,-0.072972 0.080477 0.666709 0.737358,NaN NaN NaN NaN,-0.217818 0.712009 -0.657969 -0.112587,0.225797 0.114639 0.13254 0.958283,NaN NaN NaN NaN,NaN NaN NaN NaN,0.190489 0.128362 -0.962426 0.144821,0.166389 0.131267 -0.977212 0.011798,NaN NaN NaN NaN,-0.18459 0.700828 0.195656 0.660671,0.684973 -0.371709 -0.571277 -0.257463,0.029333 0.519889 0.553812 0.649729,-0.025016 -0.718989 -0.083641 0.689516,-0.526635 -0.562767 -0.427546 0.472391,0.439565 0.301872 -0.844193 -0.05472
0.669112 0.068699 0.075415 0.736126,NaN NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN NaN,-0.44222 -0.414281 -0.599776 0.522572,NaN NaN NaN NaN,-0.070602 0.078696 0.667708 0.736877,NaN NaN NaN NaN,-0.2192 0.711961 -0.657585 -0.112449,0.226156 0.113886 0.13612 0.957786,NaN NaN NaN NaN,NaN NaN NaN NaN,0.190678 0.128687 -0.962131 0.146241,0.167059 0.131454 -0.977049 0.013639,NaN NaN NaN NaN,-0.18697 0.699976 0.198399 0.660086,0.685781 -0.371024 -0.571651 -0.255462,0.028971 0.520168 0.553439 0.649839,-0.025204 -0.719226 -0.082985 0.689342,-0.526324 -0.563849 -0.426408 0.472476,0.43995 0.302037 -0.843938 -0.05465
0.669764 0.068983 0.074894 0.73556,NaN NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN NaN,-0.441266 -0.414772 -0.5994 0.52342,NaN NaN NaN NaN,-0.068374 0.077262 0.668479 0.73654,NaN NaN NaN NaN,-0.220179 0.711861 -0.65731 -0.11278,0.226819 0.113276 0.139415 0.957228,NaN NaN NaN NaN,NaN NaN NaN NaN,0.191206 0.130209 -0.961581 0.147809,0.168104 0.132461 -0.976705 0.015555,NaN NaN NaN NaN,-0.188833 0.699673 0.19982 0.659448,0.685319 -0.372173 -0.571165 -0.256118,0.02854 0.520382 0.553174 0.649913,-0.023723 -0.719595 -0.080773 0.689272,-0.525163 -0.565906 -0.424188 0.473307,0.440284 0.302145 -0.843733 -0.054528
0.670477 0.069554 0.075148 0.73483,NaN NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN NaN,-0.440585 -0.41483 -0.599238 0.524132,NaN NaN NaN NaN,-0.066041 0.07597 0.66903 0.736387,NaN NaN NaN NaN,-0.220812 0.712376 -0.656449 -0.113302,0.227102 0.112937 0.142196 0.956792,NaN NaN NaN NaN,NaN NaN NaN NaN,0.192286 0.130569 -0.961126 0.149048,0.169344 0.133219 -0.976358 0.017352,NaN NaN NaN NaN,-0.190007 0.699743 0.200196 0.658922,0.684767 -0.373702 -0.570276 -0.257344,0.028277 0.520581 0.552968 0.64994,-0.021909 -0.719742 -0.078485 0.689443,-0.523947 -0.567999 -0.421819 0.474263,0.440555 0.30204 -0.843641 -0.054344
0.67094 0.070183 0.076005 0.734259,NaN NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN NaN,-0.440085 -0.4145 -0.599177 0.524883,NaN NaN NaN NaN,-0.063616 0.07465 0.669493 0.736315,NaN NaN NaN NaN,-0.221192 0.713344 -0.655196 -0.113725,0.2272 0.112819 0.144229 0.956478,NaN NaN NaN NaN,NaN NaN NaN NaN,0.193759 0.1313 -0.960527 0.150353,0.170653 0.133329 -0.976084 0.019012,NaN NaN NaN NaN,-0.190379 0.700251 0.199651 0.658441,0.685286 -0.372931 -0.57074 -0.256049,0.028089 0.520736 0.552826 0.649945,-0.020994 -0.719894 -0.077565 0.689417,-0.523447 -0.569322 -0.420318 0.474561,0.440722 0.301788 -0.843653 -0.054193
0.670823 0.07059 0.076854 0.734239,NaN NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN NaN,-0.43979 -0.414322 -0.598879 0.525611,NaN NaN NaN NaN,-0.061162 0.073309 0.669939 0.736252,NaN NaN NaN NaN,-0.221925 0.713528 -0.654812 -0.113351,0.227404 0.11302 0.145308 0.956242,NaN NaN NaN NaN,NaN NaN NaN NaN,0.194976 0.132775 -0.959856 0.151764,0.171842 0.132729 -0.975924 0.020643,NaN NaN NaN NaN,-0.19123 0.700468 0.199978 0.657864,0.686076 -0.37161 -0.571583 -0.253966,0.027858 0.52088 0.552625 0.65001,-0.020343 -0.719932 -0.077376 0.689418,-0.523845 -0.569605 -0.420099 0.473977,0.440756 0.30162 -0.843701 -0.054112
0.671351 0.070842 0.077178 0.733698,NaN NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN NaN,-0.439592 -0.41389 -0.598834 0.526167,NaN NaN NaN NaN,-0.058871 0.071921 0.670263 0.73628,NaN NaN NaN NaN,-0.223032 0.712968 -0.655225 -0.112309,0.227717 0.113589 0.145619 0.956053,NaN NaN NaN NaN,NaN NaN NaN NaN,0.195932 0.133502 -0.959378 0.152913,0.172979 0.131898 -0.975798 0.022345,NaN NaN NaN NaN,-0.191503 0.700622 0.200302 0.657521,0.685976 -0.373172 -0.570497 -0.254387,0.027522 0.520854 0.552433 0.650208,-0.020062 -0.719963 -0.077357 0.689396,-0.524364 -0.569546 -0.420192 0.473391,0.440789 0.301565 -0.843704 -0.054094
0.672302 0.071282 0.077208 0.732781,NaN NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN NaN,-0.439384 -0.41375 -0.598738 0.52656,NaN NaN NaN NaN,-0.056748 0.070484 0.670593 0.736286,NaN NaN NaN NaN,-0.224106 0.712442 -0.655632 -0.111131,0.227979 0.114358 0.145391 0.955934,NaN NaN NaN NaN,NaN NaN NaN NaN,0.196902 0.133233 -0.959086 0.153731,0.17402 0.131058 -0.975683 0.024147,NaN NaN NaN NaN,-0.191023 0.700976 0.200499 0.657223,0.686001 -0.374999 -0.569147 -0.254657,0.026946 0.520723 0.552193 0.650541,-0.020164 -0.720096 -0.077146 0.689278,-0.524656 -0.569471 -0.420292 0.473068,0.440816 0.301599 -0.843676 -0.054129
0.672652 0.071882 0.077094 0.732413,NaN NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN NaN,-0.438905 -0.414027 -0.598492 0.527021,NaN NaN NaN NaN,-0.054684 0.069214 0.670909 0.736275,NaN NaN NaN NaN,-0.225009 0.712346 -0.655617 -0.110006,0.228008 0.115114 0.144983 0.955898,NaN NaN NaN NaN,NaN NaN NaN NaN,0.197669 0.133111 -0.95882 0.154504,0.174899 0.130262 -0.975588 0.025908,NaN NaN NaN NaN,-0.189991 0.701026 0.200756 0.657391,0.686054 -0.377205 -0.56745 -0.255041,0.026284 0.520593 0.551868 0.650948,-0.02041 -0.720325 -0.07649 0.689104,-0.524832 -0.569448 -0.420342 0.472855,0.4409 0.301667 -0.843605 -0.054181
0.672667 0.072674 0.077002 0.732331,NaN NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN NaN,-0.438011 -0.414813 -0.59795 0.527762,NaN NaN NaN NaN,-0.052815 0.068183 0.671127 0.736308,NaN NaN NaN NaN,-0.225624 0.712101 -0.655815 -0.109145,0.227725 0.115539 0.144522 0.955984,NaN NaN NaN NaN,NaN NaN NaN NaN,0.198184 0.132999 -0.958603 0.15529,0.175637 0.129814 -0.975473 0.02744,NaN NaN NaN NaN,-0.188898 0.700965 0.200776 0.657765,0.685946 -0.379918 -0.565344 -0.255981,0.025739 0.520493 0.551487 0.651373,-0.020612 -0.720409 -0.075535 0.689116,-0.524866 -0.56948 -0.420289 0.472828,0.440952 0.301715 -0.843553 -0.054285
0.673003 0.073678 0.07712 0.731909,NaN NaN NaN NaN,NaN NaN NaN NaN,NaN NaN NaN NaN,-0.43737 -0.41518 -0.597685 0.528304,NaN NaN NaN NaN,-0.050948 0.067455 0.671298 0.736351,NaN NaN NaN NaN,-0.226014 0.712161 -0.655714 -0.108554,0.227565 0.115933 0.144199 0.956023,NaN NaN NaN NaN,NaN NaN NaN NaN,0.198647 0.13319 -0.958349 0.156097,0.176177 0.129731 -0.975349 0.02873,NaN NaN NaN NaN,-0.18841 0.700849 0.200842 0.658008,0.685955 -0.382363 -0.563293 -0.256838,0.025312 0.520328 0.55124 0.65173,-0.021457 -0.720695 -0.075196 0.688828,-0.524818 -0.569512 -0.420189 0.472931,0.440984 0.301812 -0.8435 -0.054328
