Hips	Spine	Spine1	Spine2	Spine3	Neck	Head	RightShoulder	RightArm	RightForeArm	RightHand	LeftShoulder	LeftArm	LeftForeArm	LeftHand	RightUpLeg	RightLeg	RightFoot	LeftUpLeg	LeftLeg	LeftFoot	
-0.676515 36.6398 10.0142	-0.451159 39.2947 11.9372	-0.385693 42.9142 12.366	-0.385171 46.5588 12.2886	-0.419349 50.1936 12.0121	-0.523756 59.6785 10.1511	-0.384463 64.6805 9.85909	0.758796 56.6353 9.70509	5.41142 59.9438 11.5785	16.8605 54.7154 12.5658	25.8042 53.4314 10.6983	-1.65874 56.5913 9.61642	-6.90154 59.526 9.5582	-18.1771 53.8864 10.2294	-26.8092 51.3334 8.20572	2.84561 35.3995 9.82317	4.09832 19.35 7.96862	4.92043 3.28979 10.2973	-4.31547 35.7879 10.1261	-3.96765 19.6063 9.33273	-3.35909 3.53121 11.6239	
-0.617715 36.6648 9.92542	-0.396428 39.3185 11.8506	-0.340501 42.9361 12.2964	-0.344254 46.581 12.2357	-0.375191 50.2173 11.9796	-0.478189 59.7127 10.1727	-0.336712 64.716 9.90469	0.798338 56.6706 9.70271	5.4699 59.947 11.5853	16.9114 54.6985 12.5542	25.8491 53.4754 10.6189	-1.61969 56.6299 9.62668	-6.87347 59.5454 9.61862	-18.1407 53.8955 10.3399	-26.7864 51.4169 8.28217	2.90946 35.4418 9.71682	4.06682 19.3697 8.00149	4.90495 3.30449 10.2897	-4.25196 35.7952 10.0529	-3.93929 19.6095 9.33109	-3.35178 3.53324 11.6196	
-0.568814 36.6843 9.82522	-0.351905 39.3315 11.7599	-0.298368 42.9459 12.2308	-0.300858 46.5912 12.1983	-0.327849 50.2289 11.9635	-0.428658 59.7341 10.2086	-0.29221 64.7381 9.95251	0.842002 56.6931 9.71591	5.52699 59.9489 11.6011	16.9651 54.688 12.5422	25.8953 53.5169 10.5409	-1.57641 56.6556 9.65155	-6.83804 59.5568 9.68735	-18.094 53.8907 10.4561	-26.7505 51.4908 8.35095	2.96197 35.4741 9.6036	4.02274 19.3802 8.03626	4.89022 3.31045 10.2812	-4.19977 35.8019 9.95805	-3.91023 19.6122 9.32102	-3.34751 3.5362 11.6175	
-0.529712 36.6976 9.72742	-0.311675 39.3381 11.671	-0.255074 42.949 12.168	-0.255534 46.5945 12.1693	-0.280057 50.2335 11.9559	-0.380792 59.7473 10.248	-0.25285 64.7518 9.99702	0.88507 56.7077 9.73463	5.57948 59.9512 11.6175	17.0189 54.6858 12.5171	25.9445 53.558 10.4708	-1.53364 56.6725 9.68103	-6.79738 59.569 9.75665	-18.0415 53.8849 10.5655	-26.7065 51.5641 8.4077	3.00276 35.4954 9.4895	3.98535 19.3826 8.07352	4.87598 3.30849 10.2779	-4.1584 35.8073 9.86922	-3.89582 19.6144 9.30691	-3.35396 3.53914 11.6138	
-0.499111 36.7051 9.63782	-0.275752 39.341 11.587	-0.21324 42.9487 12.1067	-0.209939 46.5939 12.1398	-0.232372 50.2342 11.9472	-0.333995 59.7557 10.2834	-0.216031 64.7607 10.0375	0.926879 56.7175 9.74985	5.62894 59.9519 11.6293	17.0745 54.6907 12.4738	26.0005 53.5974 10.4108	-1.49209 56.6844 9.70809	-6.75598 59.5794 9.82245	-17.9947 53.8888 10.6602	-26.6661 51.6362 8.45632	3.03421 35.5098 9.37873	3.96324 19.3794 8.13711	4.87549 3.29874 10.284	-4.12545 35.808 9.79594	-3.88943 19.6126 9.29722	-3.36514 3.53841 11.6156	
-0.476809 36.7147 9.54043	-0.244154 39.3449 11.4963	-0.175623 42.9494 12.0364	-0.168283 46.5944 12.0938	-0.188199 50.2356 11.9214	-0.291285 59.7651 10.304	-0.182644 64.771 10.0709	0.964418 56.7286 9.74921	5.67333 59.9536 11.6276	17.129 54.7063 12.4187	26.0582 53.6402 10.355	-1.45476 56.6975 9.72007	-6.71742 59.5925 9.88179	-17.958 53.9082 10.7366	-26.637 51.7154 8.50246	3.05603 35.5237 9.25617	3.96829 19.3789 8.20381	4.88725 3.29078 10.2912	-4.10125 35.8135 9.71785	-3.88532 19.6153 9.30994	-3.37799 3.53965 11.6219	
-0.453709 36.7253 9.44243	-0.212868 39.3501 11.4045	-0.141406 42.952 11.9618	-0.132104 46.5966 12.0366	-0.149733 50.2387 11.8833	-0.252495 59.7762 10.3136	-0.150952 64.7831 10.1007	0.997492 56.7414 9.73722	5.71243 59.9582 11.6146	17.1822 54.7335 12.3497	26.1144 53.6813 10.2917	-1.42184 56.7126 9.72059	-6.68321 59.6067 9.93297	-17.9314 53.9386 10.7955	-26.6193 51.7965 8.54659	3.07866 35.5386 9.13544	3.99346 19.3831 8.26379	4.90859 3.28745 10.2937	-4.07626 35.8201 9.63711	-3.87829 19.6192 9.33976	-3.38679 3.53929 11.6251	
-0.427311 36.7308 9.35203	-0.179962 39.3523 11.3177	-0.106908 42.9515 11.8917	-0.0959055 46.5957 11.9838	-0.111599 50.2386 11.8486	-0.213796 59.7833 10.3231	-0.11523 64.7911 10.133	1.03163 56.7502 9.72775	5.75111 59.9639 11.599	17.2372 54.7668 12.2723	26.1691 53.7126 10.2144	-1.38776 56.7232 9.72082	-6.6473 59.6172 9.97605	-17.9085 53.9753 10.8413	-26.6053 51.868 8.59396	3.1042 35.5455 9.03014	4.02498 19.3829 8.31102	4.93302 3.28057 10.291	-4.04891 35.8243 9.55833	-3.86393 19.6217 9.37338	-3.38456 3.53715 11.6288	
-0.396013 36.7331 9.27123	-0.1476 39.3537 11.238	-0.0717418 42.9501 11.8286	-0.0568214 46.5937 11.9437	-0.071609 50.2371 11.8246	-0.176324 59.787 10.3324	-0.0782866 64.7957 10.1636	1.06605 56.7557 9.72215	5.78969 59.9703 11.5813	17.2873 54.7916 12.196	26.2156 53.7371 10.1226	-1.35337 56.7294 9.72375	-6.61131 59.6235 10.0086	-17.8855 54.0079 10.8759	-26.5937 51.9253 8.65019	3.13569 35.5497 8.9445	4.04991 19.3822 8.3358	4.9397 3.276 10.2924	-4.01692 35.8247 9.48137	-3.84681 19.6211 9.39232	-3.38245 3.53246 11.6213	
-0.367213 36.7346 9.19613	-0.120484 39.3535 11.1653	-0.039994 42.9469 11.7739	-0.0193843 46.5895 11.9161	-0.0335493 50.2333 11.8117	-0.140836 59.7873 10.3455	-0.0410606 64.7964 10.1937	1.09933 56.7574 9.72364	5.82754 59.972 11.5711	17.3338 54.8054 12.1239	26.2558 53.7586 10.0198	-1.32007 56.7315 9.7319	-6.57594 59.6274 10.0355	-17.8608 54.034 10.9073	-26.5812 51.9678 8.71416	3.16479 35.5515 8.87127	4.06761 19.3802 8.35601	4.93365 3.27057 10.295	-3.98825 35.8259 9.40257	-3.82886 19.622 9.3974	-3.37968 3.53179 11.6185	
-0.34691 36.7352 9.12593	-0.102275 39.3503 11.1005	-0.0169719 42.9406 11.7258	0.00928182 46.5822 11.8909	-0.00324945 50.2265 11.7995	-0.108935 59.7843 10.3592	-0.00636804 64.7939 10.223	1.12851 56.7555 9.72666	5.86094 59.9691 11.5651	17.3734 54.8101 12.0553	26.2878 53.779 9.91129	-1.29088 56.7308 9.73978	-6.54345 59.6311 10.0577	-17.8341 54.0511 10.939	-26.5664 51.9934 8.78505	3.18516 35.5514 8.80433	4.0784 19.377 8.37644	4.91926 3.26375 10.2964	-3.96861 35.8275 9.32498	-3.81514 19.6236 9.39438	-3.38003 3.53372 11.6202	
-0.333408 36.738 9.06133	-0.0922548 39.3473 11.0439	-0.00461321 42.9352 11.683	0.0250615 46.5761 11.8623	0.0163285 50.2206 11.7812	-0.0795742 59.7822 10.3655	0.025468 64.7922 10.2476	1.15362 56.7536 9.72387	5.88991 59.9652 11.5558	17.4057 54.8087 11.9907	26.3099 53.7976 9.79559	-1.26579 56.7317 9.73949	-6.51587 59.6348 10.0729	-17.8089 54.062 10.9696	-26.5521 52.0071 8.85794	3.19922 35.5551 8.74255	4.08764 19.3787 8.38382	4.90646 3.26365 10.2977	-3.95546 35.8298 9.25134	-3.80601 19.6263 9.38437	-3.38421 3.53757 11.6216	
-0.327105 36.738 9.00332	-0.0899759 39.3416 10.994	-0.000925957 42.9277 11.6424	0.032847 46.5682 11.8287	0.0301837 50.2129 11.756	-0.0498535 59.7781 10.3636	0.0580611 64.7884 10.2665	1.17807 56.749 9.71436	5.91831 59.9583 11.54	17.4355 54.8012 11.9281	26.3281 53.8125 9.67631	-1.24137 56.7311 9.73048	-6.48963 59.6354 10.0817	-17.7819 54.0646 11.0008	-26.5344 52.0083 8.92964	3.2061 35.5558 8.68861	4.09714 19.3788 8.36287	4.90707 3.26567 10.2965	-3.94962 35.8295 9.18301	-3.80115 19.6265 9.36504	-3.38742 3.54062 11.6241	
-0.319206 36.7329 8.95742	-0.0869043 39.3329 10.9532	0.00331337 42.918 11.6075	0.0412534 46.5582 11.798	0.0452679 50.203 11.7313	-0.0167976 59.7709 10.3562	0.0937775 64.7815 10.281	1.20557 56.7407 9.70161	5.95079 59.9483 11.5173	17.4679 54.7881 11.8649	26.3476 53.8203 9.55407	-1.21391 56.7272 9.71741	-6.46086 59.632 10.0845	-17.7513 54.0619 11.0303	-26.5109 51.9991 8.99581	3.21467 35.5509 8.64969	4.10947 19.3742 8.31714	4.91566 3.26593 10.2923	-3.94226 35.8245 9.12623	-3.7956 19.6217 9.33223	-3.38703 3.54056 11.6253	
-0.305209 36.7258 8.91382	-0.0792557 39.3233 10.9136	0.0114389 42.9073 11.574	0.0523354 46.5471 11.7718	0.0617458 50.1919 11.7105	0.0147615 59.7617 10.3482	0.129313 64.7726 10.295	1.23249 56.7305 9.68973	5.98438 59.9353 11.4928	17.4988 54.7667 11.8057	26.365 53.8213 9.43475	-1.187 56.7208 9.70519	-6.43519 59.622 10.0822	-17.7235 54.0527 11.057	-26.4876 51.9759 9.05597	3.2298 35.5449 8.61481	4.12121 19.3685 8.26149	4.92529 3.26677 10.29	-3.92854 35.8164 9.07096	-3.78932 19.6138 9.29716	-3.38997 3.53694 11.6216	
-0.299405 36.7186 8.86512	-0.0773633 39.3125 10.87	0.015389 42.8951 11.5378	0.0609124 46.5343 11.7447	0.0751443 50.1793 11.6886	0.0404743 59.7509 10.3391	0.160223 64.7618 10.3083	1.25396 56.7189 9.6762	6.01175 59.9206 11.4694	17.5215 54.7398 11.7508	26.3744 53.8179 9.32154	-1.16554 56.7124 9.69243	-6.41435 59.6112 10.0794	-17.6982 54.0381 11.0843	-26.4659 51.946 9.11591	3.23597 35.5373 8.57218	4.125 19.3609 8.21209	4.92662 3.26465 10.2847	-3.92333 35.8099 9.01234	-3.78652 19.6078 9.27288	-3.39343 3.53427 11.6212	
-0.299702 36.7157 8.81622	-0.0774086 39.3052 10.8269	0.0184356 42.8863 11.5015	0.0685779 46.5252 11.7142	0.0866419 50.1702 11.6637	0.0600646 59.7441 10.3303	0.187619 64.7549 10.3226	1.26978 56.712 9.66097	6.03246 59.9093 11.449	17.5361 54.7136 11.7012	26.3766 53.8157 9.21816	-1.1497 56.708 9.67985	-6.39854 59.6049 10.0803	-17.6742 54.0199 11.11	-26.4443 51.9085 9.1724	3.23496 35.5321 8.52412	4.12239 19.3551 8.18624	4.92562 3.26127 10.2769	-3.92452 35.8097 8.95803	-3.79049 19.6082 9.25017	-3.39949 3.53789 11.6213	
-0.294005 36.7152 8.77102	-0.0699193 39.3003 10.7871	0.0280973 42.8804 11.467	0.0809564 46.5191 11.6817	0.101096 50.1641 11.6361	0.077121 59.7405 10.3204	0.212847 64.7511 10.3367	1.28418 56.7091 9.64344	6.05142 59.9004 11.4299	17.5485 54.6889 11.6554	26.378 53.8111 9.12673	-1.13527 56.7061 9.66637	-6.38408 59.6007 10.0835	-17.6488 53.9975 11.1336	-26.4201 51.8632 9.22712	3.24044 35.5324 8.47295	4.12294 19.3544 8.17393	4.92473 3.26161 10.2733	-3.91864 35.8087 8.91435	-3.79801 19.6072 9.21445	-3.40344 3.54234 11.6215	
-0.287006 36.7145 8.73362	-0.0588612 39.2981 10.7512	0.0421685 42.8776 11.4337	0.0979026 46.5161 11.6502	0.119178 50.1612 11.6087	0.0944413 59.7395 10.3067	0.23739 64.7497 10.3464	1.29973 56.7088 9.62323	6.0733 59.8927 11.4061	17.5654 54.6694 11.6104	26.3857 53.805 9.04522	-1.11967 56.7063 9.6506	-6.3681 59.599 10.085	-17.6218 53.9778 11.1568	-26.3943 51.8208 9.28162	3.24676 35.5316 8.42795	4.12619 19.3529 8.16156	4.92836 3.26142 10.2709	-3.91144 35.8083 8.88314	-3.80195 19.6065 9.17566	-3.40149 3.54755 11.6208	
-0.277408 36.7109 8.70352	-0.0447455 39.2949 10.7199	0.0592861 42.874 11.4046	0.117418 46.5122 11.6251	0.139556 50.1574 11.5867	0.113872 59.7368 10.2937	0.261812 64.7467 10.355	1.31736 56.7066 9.60508	6.09702 59.887 11.3777	17.5851 54.6543 11.5643	26.3986 53.7936 8.97457	-1.10199 56.7044 9.6371	-6.35054 59.5951 10.0834	-17.593 53.9553 11.1756	-26.3661 51.7742 9.33158	3.2557 35.5281 8.39001	4.1343 19.3491 8.14199	4.93669 3.25975 10.2678	-3.90145 35.8045 8.86158	-3.80092 19.6025 9.14109	-3.39642 3.54842 11.6174	
-0.270306 36.7065 8.67322	-0.0338639 39.2903 10.6895	0.0735557 42.8686 11.3777	0.134584 46.5065 11.6035	0.158112 50.1516 11.5682	0.132662 59.7321 10.2829	0.285019 64.7416 10.3623	1.33423 56.7021 9.58984	6.11882 59.8817 11.3507	17.606 54.6462 11.5138	26.4163 53.7791 8.91524	-1.08506 56.7005 9.62591	-6.33417 59.5889 10.0807	-17.5662 53.9318 11.1905	-26.3395 51.7257 9.37762	3.26218 35.5236 8.35316	4.14016 19.3444 8.11199	4.94006 3.25883 10.2669	-3.8941 35.8003 8.83776	-3.79734 19.5983 9.12273	-3.39648 3.54652 11.6143	
-0.270802 36.7036 8.63702	-0.0313141 39.2851 10.656	0.0790964 42.8624 11.3486	0.143426 46.4999 11.5793	0.169439 50.1451 11.5479	0.147439 59.7269 10.2725	0.304335 64.736 10.3678	1.34644 56.697 9.5747	6.13391 59.8769 11.3271	17.6231 54.645 11.4639	26.4317 53.7673 8.86313	-1.0728 56.6967 9.61403	-6.32192 59.5836 10.0779	-17.5456 53.9127 11.2017	-26.3191 51.6818 9.42021	3.26079 35.5192 8.31268	4.14055 19.3402 8.06864	4.93616 3.25973 10.2631	-3.89493 35.7991 8.80362	-3.79571 19.5977 9.1178	-3.39951 3.54644 11.6138	
-0.268104 36.7017 8.60112	-0.0259017 39.2796 10.6242	0.0862396 42.8562 11.3201	0.151786 46.4937 11.5514	0.179136 50.1389 11.5236	0.15885 59.7224 10.2607	0.322594 64.7309 10.3712	1.35589 56.693 9.55745	6.14421 59.8733 11.3069	17.6376 54.6498 11.4158	26.446 53.758 8.8193	-1.0633 56.6934 9.59989	-6.31241 59.5786 10.0749	-17.5303 53.8983 11.2091	-26.3041 51.6438 9.45885	3.26268 35.5161 8.27219	4.1412 19.3373 8.01261	4.92817 3.26335 10.2571	-3.89254 35.7986 8.76884	-3.79296 19.5979 9.11866	-3.40298 3.5469 11.6168	
-0.269401 36.7003 8.56592	-0.0239412 39.2752 10.5925	0.0910121 42.851 11.2923	0.159033 46.4883 11.5261	0.188051 50.1335 11.5015	0.170262 59.7182 10.248	0.338751 64.7262 10.3717	1.36505 56.6889 9.54014	6.15361 59.8709 11.2858	17.6516 54.6572 11.3702	26.4611 53.7531 8.78178	-1.05408 56.6904 9.58578	-6.30304 59.5743 10.0698	-17.5156 53.8861 11.2173	-26.2899 51.6123 9.4948	3.26025 35.5124 8.23325	4.14105 19.3341 7.94841	4.92231 3.26782 10.2492	-3.89445 35.7999 8.73456	-3.7933 19.6 9.12152	-3.40641 3.54871 11.6183	
-0.267703 36.6956 8.53682	-0.01873 39.2695 10.5642	0.0996 42.8445 11.2674	0.170284 46.4815 11.505	0.200032 50.1267 11.4828	0.182817 59.7122 10.2357	0.356212 64.7198 10.3716	1.3763 56.6833 9.5246	6.16552 59.8677 11.264	17.6673 54.6621 11.3332	26.4779 53.7482 8.75191	-1.04279 56.6852 9.57272	-6.29158 59.5681 10.064	-17.499 53.8734 11.229	-26.2743 51.5853 9.53082	3.26066 35.5046 8.20165	4.14413 19.327 7.88865	4.91983 3.2686 10.2458	-3.89348 35.7984 8.70717	-3.79016 19.5994 9.12633	-3.40514 3.54729 11.6183	
-0.265204 36.6891 8.51032	-0.0123897 39.2631 10.5371	0.109848 42.8374 11.243	0.183792 46.4741 11.4847	0.213945 50.1193 11.4649	0.194723 59.7056 10.2236	0.373972 64.7127 10.3705	1.38812 56.6772 9.50992	6.17834 59.864 11.242	17.6824 54.6635 11.3047	26.4929 53.7427 8.72542	-1.03093 56.6788 9.55961	-6.28002 59.5599 10.0584	-17.483 53.8603 11.2422	-26.2593 51.5626 9.56234	3.26209 35.496 8.17119	4.14739 19.3188 7.84239	4.92219 3.26663 10.2416	-3.89129 35.794 8.68502	-3.78517 19.5958 9.13232	-3.40178 3.5429 11.6196	
-0.263603 36.686 8.47992	-0.00645153 39.2599 10.5064	0.118657 42.8333 11.216	0.19469 46.4696 11.4634	0.225544 50.1148 11.4468	0.205072 59.7019 10.212	0.387515 64.7086 10.3674	1.39758 56.674 9.49488	6.18881 59.8616 11.2227	17.6939 54.6633 11.2778	26.5043 53.7378 8.69984	-1.02141 56.6756 9.54738	-6.27077 59.5546 10.0551	-17.4693 53.8498 11.2555	-26.2468 51.5472 9.58857	3.26278 35.4921 8.13422	4.14496 19.3145 7.81611	4.92119 3.26625 10.2408	-3.88957 35.7918 8.66127	-3.78242 19.5943 9.13679	-3.40279 3.54048 11.6184	
-0.263502 36.6869 8.44512	-0.00157012 39.2595 10.4725	0.12531 42.8322 11.186	0.202534 46.468 11.4383	0.234463 50.1133 11.4264	0.21407 59.7018 10.2026	0.39987 64.7083 10.3628	1.40383 56.6743 9.4791	6.19709 59.8577 11.2093	17.7029 54.6607 11.2516	26.5143 53.7354 8.67717	-1.01503 56.6766 9.53754	-6.26431 59.5537 10.0574	-17.4582 53.8422 11.2693	-26.2374 51.5396 9.61108	3.26213 35.4936 8.08995	4.13725 19.3148 7.81526	4.92043 3.26699 10.2408	-3.88892 35.7922 8.63492	-3.78112 19.5957 9.14191	-3.40445 3.5415 11.6216	
-0.264701 36.6906 8.41942	0.00492349 39.2625 10.4467	0.133567 42.8348 11.162	0.21163 46.4706 11.4142	0.245698 50.1158 11.4066	0.225103 59.706 10.1958	0.410123 64.7122 10.3656	1.41165 56.6791 9.46475	6.20686 59.8586 11.1965	17.7101 54.6559 11.2255	26.5221 53.7367 8.65098	-1.00702 56.6822 9.53031	-6.25776 59.5538 10.0649	-17.4452 53.8302 11.2796	-26.2269 51.5399 9.61789	3.26028 35.501 8.04575	4.13277 19.3214 7.81274	4.92542 3.27406 10.238	-3.8882 35.7921 8.62721	-3.77834 19.5961 9.14857	-3.39443 3.54074 11.6197	
-0.262704 36.6956 8.38872	0.010495 39.2673 10.4159	0.141212 42.8387 11.135	0.220493 46.4742 11.3909	0.25561 50.1194 11.3872	0.235526 59.7108 10.186	0.421815 64.7169 10.3572	1.41968 56.6843 9.44949	6.2177 59.8539 11.1917	17.7216 54.6526 11.2089	26.5336 53.7397 8.63205	-0.998853 56.688 9.51991	-6.24711 59.5608 10.0725	-17.4334 53.8367 11.2951	-26.2177 51.5461 9.64765	3.26155 35.5058 8.0091	4.13196 19.3257 7.80219	4.92061 3.27981 10.2385	-3.88594 35.7974 8.60237	-3.77534 19.6019 9.13888	-3.39442 3.54848 11.6229	
-0.255408 36.6944 8.35712	0.0187984 39.2663 10.3838	0.150836 42.8367 11.1075	0.231336 46.4718 11.3696	0.266816 50.117 11.37	0.24622 59.7095 10.1769	0.434555 64.7153 10.3519	1.42935 56.6834 9.43663	6.23223 59.8463 11.1777	17.7359 54.6445 11.1906	26.5488 53.739 8.61399	-0.989103 56.6873 9.50961	-6.23725 59.5579 10.0748	-17.4223 53.8345 11.3123	-26.2106 51.5523 9.6745	3.2687 35.5047 7.9756	4.1325 19.3238 7.81429	4.92042 3.27642 10.241	-3.87847 35.796 8.57295	-3.77161 19.6012 9.12989	-3.39689 3.54899 11.6229	
-0.246909 36.693 8.32792	0.0260272 39.2649 10.3549	0.158525 42.8345 11.0822	0.239877 46.4692 11.3497	0.275757 50.1144 11.3536	0.256345 59.7078 10.1686	0.448074 64.7134 10.3479	1.43913 56.6823 9.42579	6.24605 59.84 11.165	17.7481 54.6347 11.1727	26.5609 53.7371 8.59307	-0.979328 56.6864 9.49872	-6.22738 59.5552 10.0738	-17.4135 53.8364 11.3231	-26.2061 51.5626 9.69692	3.27756 35.5039 7.94782	4.13614 19.3224 7.82527	4.92143 3.27333 10.2417	-3.86991 35.794 8.54221	-3.76634 19.6001 9.12566	-3.39941 3.5482 11.6219	
